step,train_loss,train_acc,dev_loss,dev_acc
0,1.8384768962860107,0.4285,1.4995499849319458,0.4300462962962963
100,0.3771330714225769,0.83625,0.5450391173362732,0.8260648148148149
200,0.5910178422927856,0.81725,0.5600494742393494,0.8156018518518519
300,0.5944206118583679,0.84725,0.517059326171875,0.83125
400,0.3867391347885132,0.84375,0.5008130669593811,0.8416203703703704
500,0.3829494118690491,0.8535,0.49673548340797424,0.8424537037037036
600,0.39093250036239624,0.86025,0.49663859605789185,0.8472685185185185
700,0.3991950750350952,0.8635,0.4875850975513458,0.8446296296296296
800,0.38791874051094055,0.87475,0.4769679009914398,0.8519444444444444
900,0.644855260848999,0.87125,0.4731840491294861,0.8524074074074074
1000,0.4300612211227417,0.862,0.49190565943717957,0.8487037037037037
1100,0.4535026550292969,0.858,0.49103331565856934,0.8490277777777778
1200,0.3702249526977539,0.87325,0.489131897687912,0.8512037037037037
1300,0.30846577882766724,0.87575,0.47357815504074097,0.8526388888888888
1400,0.6768597364425659,0.87275,0.5301917195320129,0.84375
1500,0.32910457253456116,0.8815,0.49624085426330566,0.8551851851851852
1600,0.3721189498901367,0.87775,0.48493289947509766,0.8548611111111111
1700,0.3801143765449524,0.88125,0.49045419692993164,0.8529629629629629
1800,0.46805912256240845,0.88125,0.49234911799430847,0.8545833333333334
1900,0.2750099301338196,0.8905,0.47549623250961304,0.8582407407407407
